Stock,Daily mean,Annualized rate of return,Annualized volatility,Sharpe ratio,Cumulative return,Max drawdown,Win rate,Composite score,Cluster_Index
stock_76_HSI,0.0015083629032258,0.3801074516129037,0.3749483047559028,1.0137596217706857,0.3573042509882833,-0.288189614996154,0.4717741935483871,0.5032608695652173,1
stock_42_SP100,0.0008139596774193,0.2051178387096774,0.277692903732104,0.738649911297549,0.1779232247085587,-0.223814387171843,0.6008064516129032,0.49375,5
stock_1_HSI,0.0009447338709677,0.2380729354838711,0.2541544974886485,0.9367252511221226,0.2243919063550861,-0.1724552543765408,0.4637096774193548,0.4872282608695651,5
stock_43_SP100,0.0008134959677419,0.2050009838709691,0.2793636569593409,0.7338140762554712,0.1772971099975511,-0.2224078627555124,0.5887096774193549,0.4861413043478261,5
stock_49_HSI,0.0005936209677419,0.1495924838709672,0.1906860234643263,0.7844963209847057,0.1381270231144895,-0.1028082523727939,0.4677419354838709,0.4853260869565217,5
stock_11_HSI,0.0013865524193548,0.3494112096774189,0.4181639366333272,0.8355842746520846,0.2941201937424291,-0.2664969905802036,0.4919354838709677,0.4790760869565217,1
stock_52_HSI,0.0015800524193548,0.3981732096774192,0.4798986940407921,0.8297026322884178,0.3221093210687045,-0.2853260273642022,0.4717741935483871,0.4736413043478261,1
stock_101_SP100,0.0004871008064516,0.122749403225806,0.1965989689920795,0.6243644300634726,0.1072030290765657,-0.1132579452739198,0.5,0.4633152173913044,5
stock_9_SP100,0.0007350725806451,0.185238290322581,0.2471070581956336,0.7496276782831863,0.1649191663799647,-0.1904439429169865,0.5201612903225806,0.4624999999999999,5
stock_37_SP100,0.0007230766129032,0.1822153064516121,0.3243796992546032,0.5617346180119388,0.1353806518842037,-0.1878066465199627,0.5685483870967742,0.461141304347826,5
stock_51_HSI,0.0019631774193548,0.4947207096774195,0.6221709252598059,0.7951524084331557,0.3584830376471752,-0.4277557019357642,0.4637096774193548,0.4603260869565217,8
stock_57_HSI,0.0015379112903225,0.3875536451612905,0.4433983208985216,0.874053028383001,0.3308248404152238,-0.3969086479079878,0.4758064516129032,0.4584239130434783,1
stock_75_SP100,0.0003580322580645,0.0902241290322582,0.1592890498984487,0.5664176482299236,0.0793532460165011,-0.1158328426388828,0.5201612903225806,0.4565217391304348,5
stock_60_SP100,0.0004082137096774,0.1028698548387092,0.1643993553297358,0.6257314977445204,0.0919838728332949,-0.1628751080408982,0.5080645161290323,0.4445652173913044,5
stock_19_HSI,0.001064939516129,0.2683647580645166,0.3161258693259675,0.8489174221543924,0.2402933718665261,-0.2385326779582036,0.4516129032258064,0.4442934782608695,1
stock_14_HSI,0.0005890524193548,0.1484412096774195,0.2325593729771288,0.638293816229106,0.1270735595200569,-0.1209810549919584,0.4717741935483871,0.4432065217391304,5
stock_32_SP100,0.0004631330645161,0.1167095322580662,0.2253567803977252,0.5178878223769844,0.0941138952316815,-0.1670947257184836,0.5282258064516129,0.4364130434782608,5
stock_82_HSI,0.0011510927419354,0.2900753709677411,0.3894558524630573,0.7448222157484639,0.2350992452107398,-0.2286396136219324,0.4637096774193548,0.4358695652173913,1
stock_29_SP100,0.0003598870967741,0.0906915483870967,0.2051372256647697,0.4421018569067649,0.0707444474808949,-0.1604452483702401,0.5443548387096774,0.4347826086956521,5
stock_58_HSI,0.0010702258064516,0.2696969032258069,0.3541431635806179,0.7615476760838631,0.2263258427007068,-0.3164797670777601,0.5080645161290323,0.4334239130434782,1
stock_34_SP100,0.0007990483870967,0.2013601935483874,0.2642852746340504,0.7619047025121098,0.1782940270672586,-0.3030433420318609,0.5161290322580645,0.4285326086956521,5
