Stock Similarity Group Detection
========================================
Method: Z-score normalized cosine similarity
High similarity threshold: >= 0.9
Low similarity threshold: <= -0.7

High similarity groups (1541 pairs)
----------------------------------------
stock_75_HSI <-> stock_68_HSI: 0.971174
stock_13_HSI <-> stock_1_HSI: 0.971137
stock_16_SP100 <-> stock_45_SP100: 0.970813
stock_45_HSI <-> stock_83_SP100: 0.970804
stock_55_SP100 <-> stock_80_SP100: 0.970747
stock_29_HSI <-> stock_63_HSI: 0.970714
stock_44_SP100 <-> stock_11_SP100: 0.970630
stock_32_SP100 <-> stock_66_SP100: 0.970595
stock_22_SP100 <-> stock_32_HSI: 0.970546
stock_62_HSI <-> stock_68_HSI: 0.970525
stock_23_HSI <-> stock_30_HSI: 0.970512
stock_86_SP100 <-> stock_47_SP100: 0.970479
stock_70_SP100 <-> stock_96_SP100: 0.970376
stock_29_HSI <-> stock_22_HSI: 0.970298
stock_60_HSI <-> stock_78_SP100: 0.970185
stock_78_SP100 <-> stock_81_HSI: 0.970155
stock_70_SP100 <-> stock_20_SP100: 0.970104
stock_11_SP100 <-> stock_10_SP100: 0.969927
stock_26_HSI <-> stock_68_HSI: 0.969844
stock_50_SP100 <-> stock_55_SP100: 0.969765
stock_32_HSI <-> stock_22_HSI: 0.969721
stock_83_HSI <-> stock_69_HSI: 0.969701
stock_54_SP100 <-> stock_89_SP100: 0.969679
stock_80_SP100 <-> stock_48_HSI: 0.969669
stock_13_SP100 <-> stock_15_SP100: 0.969554
stock_68_HSI <-> stock_66_HSI: 0.969552
stock_63_HSI <-> stock_69_HSI: 0.969355
stock_1_SP100 <-> stock_2_SP100: 0.969324
stock_3_SP100 <-> stock_68_SP100: 0.969210
stock_13_SP100 <-> stock_17_SP100: 0.969196
stock_15_SP100 <-> stock_10_SP100: 0.969111
stock_70_SP100 <-> stock_99_SP100: 0.969015
stock_35_SP100 <-> stock_89_SP100: 0.969012
stock_13_SP100 <-> stock_41_SP100: 0.968970
stock_32_SP100 <-> stock_93_SP100: 0.968943
stock_67_SP100 <-> stock_74_SP100: 0.968917
stock_70_SP100 <-> stock_15_SP100: 0.968830
stock_50_SP100 <-> stock_70_SP100: 0.968806
stock_16_SP100 <-> stock_86_SP100: 0.968798
stock_28_HSI <-> stock_35_HSI: 0.968787
stock_29_HSI <-> stock_71_SP100: 0.968787
stock_71_HSI <-> stock_22_HSI: 0.968726
stock_34_HSI <-> stock_72_HSI: 0.968725
stock_64_HSI <-> stock_75_HSI: 0.968645
stock_52_SP100 <-> stock_2_SP100: 0.968617
stock_1_SP100 <-> stock_87_SP100: 0.968566
stock_44_SP100 <-> stock_45_SP100: 0.968565
stock_12_HSI <-> stock_37_HSI: 0.968553
stock_24_HSI <-> stock_27_HSI: 0.968551
stock_83_HSI <-> stock_22_HSI: 0.968408
stock_71_HSI <-> stock_63_HSI: 0.968368
stock_98_SP100 <-> stock_97_SP100: 0.968321
stock_65_HSI <-> stock_26_HSI: 0.968299
stock_75_SP100 <-> stock_32_SP100: 0.968127
stock_62_HSI <-> stock_77_HSI: 0.968115
stock_87_SP100 <-> stock_79_SP100: 0.968033
stock_90_SP100 <-> stock_1_SP100: 0.968031
stock_14_SP100 <-> stock_79_HSI: 0.967978
stock_21_SP100 <-> stock_72_SP100: 0.967895
stock_35_SP100 <-> stock_53_SP100: 0.967880
stock_16_SP100 <-> stock_17_SP100: 0.967784
stock_27_SP100 <-> stock_69_SP100: 0.967763
stock_26_HSI <-> stock_47_HSI: 0.967690
stock_50_SP100 <-> stock_63_SP100: 0.967621
stock_67_HSI <-> stock_68_HSI: 0.967544
stock_3_HSI <-> stock_76_SP100: 0.967466
stock_35_SP100 <-> stock_2_SP100: 0.967457
stock_13_SP100 <-> stock_74_SP100: 0.967430
stock_63_HSI <-> stock_79_HSI: 0.967425
stock_13_HSI <-> stock_49_HSI: 0.967417
stock_83_HSI <-> stock_67_HSI: 0.967401
stock_39_SP100 <-> stock_55_SP100: 0.967271
stock_53_SP100 <-> stock_4_SP100: 0.967271
stock_27_SP100 <-> stock_87_SP100: 0.967238
stock_90_SP100 <-> stock_56_SP100: 0.967210
stock_25_SP100 <-> stock_74_SP100: 0.967150
stock_50_SP100 <-> stock_67_SP100: 0.967148
stock_87_SP100 <-> stock_45_SP100: 0.967093
stock_79_HSI <-> stock_69_HSI: 0.966967
stock_37_HSI <-> stock_84_SP100: 0.966965
stock_18_HSI <-> stock_47_HSI: 0.966950
stock_9_SP100 <-> stock_32_SP100: 0.966932
stock_6_HSI <-> stock_67_HSI: 0.966894
stock_55_SP100 <-> stock_54_HSI: 0.966860
stock_3_SP100 <-> stock_97_SP100: 0.966707
stock_80_HSI <-> stock_61_HSI: 0.966697
stock_72_SP100 <-> stock_55_SP100: 0.966676
stock_80_HSI <-> stock_38_HSI: 0.966545
stock_33_SP100 <-> stock_89_SP100: 0.966538
stock_53_SP100 <-> stock_7_SP100: 0.966374
stock_58_SP100 <-> stock_98_SP100: 0.966329
stock_16_SP100 <-> stock_57_SP100: 0.966263
stock_22_SP100 <-> stock_21_HSI: 0.966163
stock_32_HSI <-> stock_68_HSI: 0.966159
stock_58_SP100 <-> stock_2_SP100: 0.966123
stock_38_HSI <-> stock_66_HSI: 0.966099
stock_77_HSI <-> stock_67_HSI: 0.966068
stock_34_HSI <-> stock_42_HSI: 0.966051
stock_83_HSI <-> stock_38_HSI: 0.965856
stock_25_SP100 <-> stock_63_SP100: 0.965706
stock_2_SP100 <-> stock_3_SP100: 0.965706
stock_71_HSI <-> stock_70_HSI: 0.965660
stock_24_HSI <-> stock_6_SP100: 0.965545
stock_87_SP100 <-> stock_7_SP100: 0.965423
stock_68_HSI <-> stock_22_HSI: 0.965393
stock_62_SP100 <-> stock_69_SP100: 0.965292
stock_79_HSI <-> stock_68_HSI: 0.965273
stock_44_SP100 <-> stock_69_SP100: 0.965201
stock_23_SP100 <-> stock_15_HSI: 0.965138
stock_82_SP100 <-> stock_85_SP100: 0.965050
stock_20_SP100 <-> stock_10_SP100: 0.965038
stock_82_SP100 <-> stock_15_SP100: 0.965011
stock_13_SP100 <-> stock_21_SP100: 0.965001
stock_81_SP100 <-> stock_54_HSI: 0.964882
stock_18_HSI <-> stock_38_HSI: 0.964878
stock_33_HSI <-> stock_19_SP100: 0.964809
stock_90_SP100 <-> stock_82_SP100: 0.964745
stock_95_SP100 <-> stock_27_HSI: 0.964656
stock_53_SP100 <-> stock_46_SP100: 0.964614
stock_89_SP100 <-> stock_68_SP100: 0.964461
stock_63_SP100 <-> stock_60_HSI: 0.964425
stock_35_SP100 <-> stock_33_SP100: 0.964374
stock_86_SP100 <-> stock_10_SP100: 0.964288
stock_32_HSI <-> stock_21_HSI: 0.964278
stock_42_HSI <-> stock_72_HSI: 0.964260
stock_75_HSI <-> stock_38_HSI: 0.964188
stock_67_SP100 <-> stock_99_SP100: 0.964079
stock_79_SP100 <-> stock_68_SP100: 0.964046
stock_20_HSI <-> stock_76_SP100: 0.963900
stock_90_SP100 <-> stock_87_SP100: 0.963877
stock_34_HSI <-> stock_74_HSI: 0.963577
stock_25_SP100 <-> stock_64_SP100: 0.963519
stock_16_SP100 <-> stock_69_SP100: 0.963433
stock_35_SP100 <-> stock_7_SP100: 0.963433
stock_80_HSI <-> stock_21_HSI: 0.963397
stock_90_SP100 <-> stock_35_SP100: 0.963319
stock_46_HSI <-> stock_75_HSI: 0.962957
stock_16_SP100 <-> stock_21_SP100: 0.962950
stock_72_SP100 <-> stock_17_SP100: 0.962907
stock_83_HSI <-> stock_21_HSI: 0.962893
stock_41_SP100 <-> stock_80_SP100: 0.962832
stock_46_HSI <-> stock_18_HSI: 0.962825
stock_82_SP100 <-> stock_10_SP100: 0.962806
stock_87_SP100 <-> stock_89_SP100: 0.962721
stock_58_SP100 <-> stock_97_SP100: 0.962681
stock_31_HSI <-> stock_24_SP100: 0.962680
stock_44_SP100 <-> stock_74_SP100: 0.962666
stock_61_SP100 <-> stock_97_SP100: 0.962638
stock_52_SP100 <-> stock_1_SP100: 0.962574
stock_70_HSI <-> stock_47_HSI: 0.962482
